capture_id,site,col,row,u,v,distance_m,pred_disp,lolo_scale,lolo_predicted_depth_m,abs_error_m,lolo_abs_rel
site-a-try-03,site-a,7,1,62.3125,12.0625,11.2447479395,118.613708258,0.00126422079176,6.66871546648,4.57603247298,0.406948425844
site-a-try-03,site-a,8,1,70.6875,12.0625,18.064246319,117.795961261,0.00126422079176,6.7150101101,11.3492362089,0.628270673931
site-a-try-03,site-a,9,1,79.0625,12.0625,11.0505894319,114.662523389,0.00126422079176,6.89851441793,4.15207501393,0.375733352463
site-a-try-03,site-a,10,1,87.4375,12.0625,15.5108351358,104.809562564,0.00126422079176,7.54703150595,7.96380362982,0.513434870535
site-a-try-03,site-a,12,1,104.1875,12.0625,16.598889686,78.6556897163,0.00126422079176,10.0565016167,6.5423880693,0.394146126221
site-a-try-03,site-a,5,2,45.5625,20.4375,19.6512217257,73.2683491707,0.00126422079176,10.7959450397,8.855276686,0.450622195893
site-a-try-03,site-a,6,2,53.9375,20.4375,18.4439282367,69.6100801229,0.00126422079176,11.3633121726,7.08061606411,0.383899567015
site-a-try-03,site-a,7,2,62.3125,20.4375,7.49320850138,147.65722084,0.00126422079176,5.35700906662,2.13619943475,0.285084744987
site-a-try-03,site-a,8,2,70.6875,20.4375,12.0134630448,149.306709051,0.00126422079176,5.29782670733,6.71563633748,0.559009197633
site-a-try-03,site-a,9,2,79.0625,20.4375,7.38337732427,146.527718067,0.00126422079176,5.39830334649,1.98507397779,0.268857176141
site-a-try-03,site-a,10,2,87.4375,20.4375,10.3446892257,133.081759453,0.00126422079176,5.94372267129,4.40096655445,0.425432457023
site-a-try-03,site-a,11,2,95.8125,20.4375,15.1803188735,87.5545445681,0.00126422079176,9.03438050757,6.14593836598,0.404862270495
site-a-try-03,site-a,12,2,104.1875,20.4375,11.0755269688,101.711325407,0.00126422079176,7.7769222614,3.29860470736,0.297828240287
site-a-try-03,site-a,13,2,112.5625,20.4375,15.7643299465,97.4119464159,0.00126422079176,8.12016492739,7.64416501907,0.48490262796
site-a-try-03,site-a,14,2,120.9375,20.4375,16.0454727102,91.4048130512,0.00126422079176,8.65382297048,7.39164973977,0.460668867365
site-a-try-03,site-a,5,3,45.5625,28.8125,16.7034506466,81.2301065922,0.00126422079176,9.73778201186,6.96566863471,0.41701973934
site-a-try-03,site-a,6,3,53.9375,28.8125,15.6383326333,77.697568655,0.00126422079176,10.1805125242,5.45782010902,0.349002686988
site-a-try-03,site-a,7,3,62.3125,28.8125,6.37056387935,157.121170521,0.00126422079176,5.0343379455,1.33622593384,0.209750025139
site-a-try-03,site-a,8,3,70.6875,28.8125,10.1846026566,159.693860292,0.00126422079176,4.95323407767,5.2313685789,0.513654656475
site-a-try-03,site-a,9,3,79.0625,28.8125,6.2592321414,156.602731228,0.00126422079176,5.05100431259,1.20822782881,0.193031317822
site-a-try-03,site-a,10,3,87.4375,28.8125,8.78895557504,141.014350176,0.00126422079176,5.60936578305,3.179589792,0.361771061971
site-a-try-03,site-a,11,3,95.8125,28.8125,12.8536386606,100.099393129,0.00126422079176,7.90215650731,4.95148215328,0.385220269842
site-a-try-03,site-a,12,3,104.1875,28.8125,9.34318290239,112.341935039,0.00126422079176,7.04101340718,2.30216949521,0.246400987679
site-a-try-03,site-a,13,3,112.5625,28.8125,13.3740199943,107.506581306,0.00126422079176,7.35769904672,6.01632094757,0.449851349866
site-a-try-03,site-a,14,3,120.9375,28.8125,13.6023219563,100.813092709,0.00126422079176,7.84621371632,5.75610823994,0.423171004072
site-a-try-03,site-a,5,4,45.5625,37.1875,16.9306576025,84.0588616133,0.00126422079176,9.41008545219,7.52057215028,0.444198466879
site-a-try-03,site-a,6,4,53.9375,37.1875,15.6529157277,80.2244182825,0.00126422079176,9.8598542405,5.79306148719,0.370094721518
site-a-try-03,site-a,7,4,62.3125,37.1875,6.38605147815,155.683891296,0.00126422079176,5.08081513256,1.30523634559,0.204388635145
site-a-try-03,site-a,8,4,70.6875,37.1875,10.2053597158,159.583617449,0.00126422079176,4.95665584877,5.24870386706,0.514308560718
site-a-try-03,site-a,9,4,79.0625,37.1875,6.25311693679,157.065893173,0.00126422079176,5.03610971685,1.21700721994,0.194624094231
site-a-try-03,site-a,10,4,87.4375,37.1875,8.81963328766,140.132252455,0.00126422079176,5.64467534731,3.17495794034,0.359987522927
site-a-try-03,site-a,11,4,95.8125,37.1875,12.8414188136,102.481690884,0.00126422079176,7.7184623319,5.12295648173,0.398940066988
site-a-try-03,site-a,12,4,104.1875,37.1875,9.29310601082,116.107666612,0.00126422079176,6.81265151457,2.48045449625,0.266913397239
site-a-try-03,site-a,13,4,112.5625,37.1875,13.3197859442,111.989703536,0.00126422079176,7.06315889603,6.25662704813,0.469724293946
site-a-try-03,site-a,14,4,120.9375,37.1875,13.6022150221,104.275489926,0.00126422079176,7.58568548902,6.01652953304,0.442319837121
site-a-try-03,site-a,1,5,12.0625,45.5625,15.5462234892,62.4241265655,0.00126422079176,12.6713998948,2.87482359438,0.184921025764
site-a-try-03,site-a,2,5,20.4375,45.5625,14.7685291159,57.0291808248,0.00126422079176,13.8701110441,0.89841807174,0.0608332803281
site-a-try-03,site-a,3,5,28.8125,45.5625,17.9405595428,77.3096193075,0.00126422079176,10.2315996105,7.70895993231,0.429694509467
site-a-try-03,site-a,5,5,45.5625,45.5625,17.7752261004,81.7148673534,0.00126422079176,9.68001413223,8.09521196819,0.455421040636
site-a-try-03,site-a,6,5,53.9375,45.5625,18.628726399,78.0463373661,0.00126422079176,10.1350184709,8.49370792806,0.455946785955
site-a-try-03,site-a,7,5,62.3125,45.5625,7.55454580479,144.639630556,0.00126422079176,5.46877137167,2.08577443311,0.276095279188
site-a-try-03,site-a,8,5,70.6875,45.5625,12.1011906257,149.535568476,0.00126422079176,5.2897185523,6.81147207342,0.562876189963
site-a-try-03,site-a,9,5,79.0625,45.5625,7.35182452371,147.330236673,0.00126422079176,5.36889839218,1.98292613153,0.269718914691
site-a-try-03,site-a,10,5,87.4375,45.5625,10.4317736619,130.117395401,0.00126422079176,6.07913391101,4.35263975093,0.417248292762
site-a-try-03,site-a,11,5,95.8125,45.5625,15.1732381848,102.380663514,0.00126422079176,7.72607876961,7.44715941518,0.490808838857
